seqnames	start	end	width	strand	Median
1	1	1000000	1000000	*	NA
1	1000001	2000000	1000000	*	NA
1	2000001	3000000	1000000	*	NA
1	3000001	4000000	1000000	*	NA
1	4000001	5000000	1000000	*	0.139719890835618
1	5000001	6000000	1000000	*	0.122077270127531
1	6000001	7000000	1000000	*	0.0985868451448683
1	7000001	8000000	1000000	*	0.113967048926819
1	8000001	9000000	1000000	*	2.44166263970674e-05
1	9000001	10000000	1000000	*	0.0573314706379693
1	10000001	11000000	1000000	*	0.0374083820215094
1	11000001	12000000	1000000	*	0.0970404740163451
1	12000001	13000000	1000000	*	0.0318979555224863
1	13000001	14000000	1000000	*	NA
1	14000001	15000000	1000000	*	0.103184522963158
1	15000001	16000000	1000000	*	0.114036038373613
1	16000001	17000000	1000000	*	0.324990859516319
1	17000001	18000000	1000000	*	NA
1	18000001	19000000	1000000	*	0.197322692970183
1	19000001	20000000	1000000	*	0.0910275496813213
1	20000001	21000000	1000000	*	0.128110380503099
1	21000001	22000000	1000000	*	-0.0222515085435734
1	22000001	23000000	1000000	*	0.121741486698708
1	23000001	24000000	1000000	*	0.0858417466174057
1	24000001	25000000	1000000	*	-0.128208014359601
1	25000001	26000000	1000000	*	-0.0139457481868327
1	26000001	27000000	1000000	*	0.0187677051388533
1	27000001	28000000	1000000	*	-0.0325574420979391
1	28000001	29000000	1000000	*	-0.0847183961360493
1	29000001	30000000	1000000	*	NA
1	30000001	31000000	1000000	*	NA
1	31000001	32000000	1000000	*	0.0638089949893859
1	32000001	33000000	1000000	*	0.015829100505369
1	33000001	34000000	1000000	*	0.0088009511376701
1	34000001	35000000	1000000	*	0.115704269266124
1	35000001	36000000	1000000	*	0.0295995997901023
1	36000001	37000000	1000000	*	-0.0747669628260631
1	37000001	38000000	1000000	*	0.127002505160636
1	38000001	39000000	1000000	*	0.0569537576461264
1	39000001	40000000	1000000	*	0.0103317955929114
1	40000001	41000000	1000000	*	-0.0503888911747207
1	41000001	42000000	1000000	*	0.0705715120775165
1	42000001	43000000	1000000	*	0.0820625341262853
1	43000001	44000000	1000000	*	0.0268524721535449
1	44000001	45000000	1000000	*	0.0419257363143213
1	45000001	46000000	1000000	*	-0.0187588379830654
1	46000001	47000000	1000000	*	-0.00471420432935552
1	47000001	48000000	1000000	*	0.00809194913609107
1	48000001	49000000	1000000	*	0.0880201000686974
1	49000001	50000000	1000000	*	0.0552752839902529
1	50000001	51000000	1000000	*	0.0580453466601401
1	51000001	52000000	1000000	*	0.0228048026482113
1	52000001	53000000	1000000	*	0.0201641050979375
1	53000001	54000000	1000000	*	0.0405701525229968
1	54000001	55000000	1000000	*	0.0637364120761727
1	55000001	56000000	1000000	*	0.0679519868830866
1	56000001	57000000	1000000	*	0.0826317277019065
1	57000001	58000000	1000000	*	0.076303461106623
1	58000001	59000000	1000000	*	0.0722496484934236
1	59000001	60000000	1000000	*	0.0423916704008581
1	60000001	61000000	1000000	*	0.0521398465742459
1	61000001	62000000	1000000	*	0.0644692632841696
1	62000001	63000000	1000000	*	0.0543281257974167
1	63000001	64000000	1000000	*	0.0453884258303198
1	64000001	65000000	1000000	*	0.0792155185605616
1	65000001	66000000	1000000	*	0.0211753160850187
1	66000001	67000000	1000000	*	0.0391708291919318
1	67000001	68000000	1000000	*	0.0249802391068733
1	68000001	69000000	1000000	*	0.027758794049319
1	69000001	70000000	1000000	*	0.0344098745262271
